Product Name,Category,Material,Year,Month,Day,Total Emissions (kgCO₂e)
Slip-On Sneakers,Shoes,Canvas,2020,10,2,558.6
Running Shoes,Shoes,Synthetic,2020,5,9,152.0
Tank Top,T-shirt,Cotton,2022,10,11,109.8
Knitted Sweater,Sweater,Wool,2023,8,27,162.0
Formal Shirt,Shirt,Cotton,2020,7,11,15.6
Knitted Sweater,Sweater,Wool,2024,9,7,336.0
Basic T-shirt,T-shirt,Cotton,2023,5,29,189.0
Running Shoes,Shoes,Synthetic,2022,7,1,883.5
Chino Pants,Pants,Cotton,2024,6,30,357.2
Summer Dress,Dress,Linen,2020,7,28,13.2
Basic T-shirt,T-shirt,Cotton,2020,2,15,176.4
Basic T-shirt,T-shirt,Cotton,2023,1,13,102.9
Printed T-shirt,T-shirt,Organic Cotton,2023,11,6,104.5
Basic T-shirt,T-shirt,Cotton,2024,1,26,142.8
Tank Top,T-shirt,Cotton,2021,3,30,115.2
Chino Pants,Pants,Cotton,2023,2,6,211.5
Chino Pants,Pants,Cotton,2021,4,17,460.6
Leather Boots,Shoes,Leather,2022,7,30,33.0
Zip Hoodie,Sweatshirt,Cotton,2022,5,2,373.5
Denim Jacket,Jacket,Denim,2020,7,23,631.8
Leather Boots,Shoes,Leather,2024,1,22,176.0
Summer Dress,Dress,Linen,2024,3,1,306.9
Tracksuit Pants,Pants,Polyester,2023,12,27,346.5
Printed T-shirt,T-shirt,Organic Cotton,2022,11,5,74.1
Slip-On Sneakers,Shoes,Canvas,2021,8,4,364.8
Tracksuit Pants,Pants,Polyester,2024,9,29,321.3
Slim Fit Jeans,Jeans,Denim,2023,4,21,403.0
Knitted Sweater,Sweater,Wool,2021,5,12,324.0
Denim Jacket,Jacket,Denim,2023,9,23,366.6
Winter Coat,Jacket,Wool,2023,1,28,122.4
Tracksuit Pants,Pants,Polyester,2022,6,17,88.2
Denim Jacket,Jacket,Denim,2024,5,13,522.6
Knitted Sweater,Sweater,Wool,2024,9,16,288.0
Basic T-shirt,T-shirt,Cotton,2022,9,29,128.1
Leather Boots,Shoes,Leather,2020,3,30,1001.0
Shorts,Shorts,Denim,2024,10,3,266.0
Knitted Sweater,Sweater,Wool,2023,3,30,498.0
Denim Jacket,Jacket,Denim,2020,12,14,507.0
Basic T-shirt,T-shirt,Cotton,2021,4,9,207.9
