Date,Product Name,Category,City,Country,Emissions Raw Materials per unit (kgCO₂e),Emissions Manufacturing per unit (kgCO₂e),Emissions Transport per unit (kgCO₂e),Total Emissions per unit (kgCO₂e),Quantity,Total Emissions (kgCO₂e)
2020-10-02,Slim Fit Jeans,Jeans,Nagoya,Japan,3.11,5.13,1.07,9.31,17,158.27
2020-08-29,Raincoat,Jacket,Tokyo,Japan,1.81,2.86,3.12,7.79,31,241.49
2023-08-27,Running Shoes,Shoes,Hamburg,Germany,3.59,4.13,1.73,9.45,7,66.15
2022-09-26,Cargo Pants,Jeans,Milan,Italy,4.12,4.66,0.59,9.37,28,262.36
2023-05-29,Raincoat,Jacket,Milan,Italy,2.0,3.07,1.89,6.96,18,125.28
2024-01-17,Ankle Boots,Shoes,Marseille,France,3.04,3.36,2.59,8.99,7,62.93
2021-10-12,Basic T-shirt,T-shirt,Milan,Italy,2.35,4.41,1.69,8.45,2,16.9
2023-08-23,Basic T-shirt,T-shirt,Kyoto,Japan,3.37,2.27,0.99,6.63,25,165.75
2023-11-06,Canvas Sneakers,Shoes,Lyon,France,4.39,5.71,3.82,13.92,47,654.24
2020-02-29,Leather Boots,Shoes,Osaka,Japan,1.36,2.33,1.14,4.83,49,236.67
2022-06-15,Chino Pants,Jeans,Tokyo,Japan,1.78,4.3,3.0,9.08,15,136.2
2021-12-08,Leather Boots,Shoes,Marseille,France,3.04,5.49,3.51,12.04,49,589.96
2022-07-30,Basic T-shirt,T-shirt,Nice,France,3.73,4.78,3.54,12.05,27,325.35
2024-09-11,Relaxed Fit Jeans,Jeans,Kyoto,Japan,3.83,4.32,0.75,8.9,12,106.8
2023-07-12,Relaxed Fit Jeans,Jeans,Nice,France,3.94,2.67,2.61,9.22,48,442.56
2021-11-12,Canvas Sneakers,Shoes,Osaka,Japan,3.52,3.89,0.7,8.11,33,267.63
2024-08-26,Baseball Cap,Accessories,Lyon,France,2.38,5.29,3.76,11.43,19,217.17
2023-04-18,Polo Shirt,T-shirt,Tokyo,Japan,1.07,5.1,1.61,7.78,26,202.28
2023-04-21,Beanie,Accessories,Rome,Italy,1.04,4.66,3.72,9.42,16,150.72
2024-03-03,Canvas Sneakers,Shoes,Hamburg,Germany,3.92,3.96,3.81,11.69,43,502.67
2020-12-20,Chino Pants,Jeans,Munich,Germany,3.93,4.92,2.89,11.74,45,528.3
2024-05-07,Slim Fit Jeans,Jeans,Munich,Germany,4.42,5.45,0.84,10.71,29,310.59
2023-09-21,Relaxed Fit Jeans,Jeans,Osaka,Japan,2.62,2.62,2.48,7.72,50,386.0
2020-12-01,Cargo Pants,Jeans,Osaka,Japan,4.52,2.06,3.77,10.35,24,248.4
2022-09-29,Beanie,Accessories,Milan,Italy,3.23,4.04,3.9,11.17,3,33.51
2021-09-23,Ankle Boots,Shoes,Fukuoka,Japan,1.7,5.67,1.0,8.37,38,318.06
2022-03-17,Light Jacket,Jacket,Paris,France,4.76,3.43,2.95,11.14,33,367.62
2021-04-09,Running Shoes,Shoes,Milan,Italy,2.64,5.23,3.26,11.13,35,389.55
2024-10-27,Leather Boots,Shoes,Kyoto,Japan,2.88,3.47,3.34,9.69,26,251.94
2022-11-18,Ankle Boots,Shoes,Munich,Germany,3.38,5.71,0.62,9.71,23,223.33
2022-07-29,Chino Pants,Jeans,Bordeaux,France,4.53,4.7,2.58,11.81,39,460.59
2024-02-02,Cargo Pants,Jeans,Milan,Italy,4.65,3.62,2.09,10.36,48,497.28
2022-11-15,Polo Shirt,T-shirt,Venice,Italy,3.31,6.63,2.45,12.39,50,619.5
2023-02-23,Canvas Sneakers,Shoes,Lyon,France,4.87,2.63,3.63,11.13,4,44.52
2022-09-12,Ankle Boots,Shoes,Munich,Germany,1.32,4.94,2.66,8.92,36,321.12
2021-02-13,Canvas Sneakers,Shoes,Osaka,Japan,2.04,4.45,0.62,7.11,32,227.52
2024-07-23,Canvas Sneakers,Shoes,Munich,Germany,3.51,3.45,3.45,10.41,23,239.43
2020-01-04,Chino Pants,Jeans,Kyoto,Japan,4.74,3.94,0.94,9.62,40,384.8
2024-05-29,Denim Jacket,Jacket,Fukuoka,Japan,4.86,6.85,3.42,15.13,30,453.9
2023-05-13,Leather Boots,Shoes,Milan,Italy,4.7,6.21,2.14,13.05,41,535.05
2020-12-28,Ankle Boots,Shoes,Kyoto,Japan,1.61,3.2,1.33,6.14,12,73.68
2024-10-29,Chino Pants,Jeans,Naples,Italy,1.9,2.54,3.76,8.2,17,139.4
2020-03-07,Slim Fit Jeans,Jeans,Naples,Italy,3.91,4.9,0.9,9.71,2,19.42
2022-07-16,Wool Scarf,Accessories,Milan,Italy,2.01,2.73,1.71,6.45,16,103.2
2021-07-04,Leather Belt,Accessories,Florence,Italy,1.2,5.99,1.86,9.05,12,108.6
2021-12-06,Slim Fit Jeans,Jeans,Nice,France,4.18,5.12,1.28,10.58,11,116.38
2020-11-22,Polo Shirt,T-shirt,Bordeaux,France,3.15,4.45,3.94,11.54,11,126.94
2023-09-06,Baseball Cap,Accessories,Bordeaux,France,4.78,3.76,2.62,11.16,30,334.8
2023-12-09,Beanie,Accessories,Berlin,Germany,4.31,5.96,2.48,12.75,31,395.25
2020-08-21,Baseball Cap,Accessories,Milan,Italy,1.69,4.65,0.75,7.09,25,177.25
